sample_id,lambda0_HM,lambda1_HM,lambda2_HM,lambda3_HM,gamma0_MH,gamma1_MH,gamma2_MH,gamma3_MH,delta0_HM,delta1_HM,delta2_HM,delta3_HM,eta0_MH,eta1_MH,eta2_MH,eta3_MH,p0_mortality,p1_mortality
0,0.01,0.295886694,0.751064302,0.578275214,0.072,0.340038019,0.088618588,0.088604888,0.01,0.045886054,0.684279155,0.474880859,0.072,0.402185224,0.011691993,0.550908796,0.05,0.233083939
1,0.01,0.167747897,0.143641724,0.144889563,0.072,0.172809594,0.298061653,0.245344771,0.01,0.230071021,0.483363787,0.11020015,0.072,0.16593816,0.208093527,0.259047751,0.05,0.219849269
2,0.01,0.157742288,0.406245206,0.468007509,0.072,0.026383834,0.345085476,0.096857702,0.01,0.051390758,0.749619574,0.762849306,0.072,0.459169694,0.173020621,0.055477761,0.05,0.191585247
3,0.01,0.34772047,0.096410206,0.391189759,0.072,0.01953268,0.516493988,0.14698703,0.01,0.523392605,0.24625175,0.410853737,0.072,0.310531439,0.104997331,0.550724069,0.05,0.217037191
4,0.01,0.742204164,0.706913607,0.472340983,0.072,0.523624565,0.050263741,0.111318266,0.01,0.035729558,0.257010961,0.307055059,0.072,0.15412625,0.470722905,0.20263589,0.05,0.078661663
5,0.01,0.428729906,0.111330138,0.633735615,0.072,0.042344766,0.56055178,0.438635029,0.01,0.156985388,0.004362473,0.644214528,0.072,0.401494971,0.414076071,0.438081557,0.05,0.020732502
6,0.01,0.283187926,0.091536557,0.681851706,0.072,0.354033336,0.187950078,0.036101143,0.01,0.245676034,0.256894824,0.576388881,0.072,0.362132644,0.503936838,0.268218077,0.05,0.033486389
7,0.01,0.563463382,0.601020188,0.443408986,0.072,0.437909358,0.280475899,0.296912247,0.01,0.337757405,0.02008111,0.085234227,0.072,0.017851777,0.361481114,0.178554197,0.05,0.142399794
8,0.01,0.716977514,0.196940861,0.324202509,0.072,0.429153047,0.129957358,0.043724589,0.01,0.228903648,0.127364817,0.734461145,0.072,0.459012376,0.359773334,0.494989615,0.05,0.225028182
9,0.01,0.147390347,0.705121609,0.426080371,0.072,0.458626008,0.508979858,0.180625974,0.01,0.08694102,0.180068778,0.337415153,0.072,0.464632387,0.488894971,0.00394881,0.05,0.143009245
