Station_name,Date,Temp_max,Temp_avg,Temp_min,RH_max,RH_min
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-31,104,91,78,61,22
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-30,107,92,80,63,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-29,101,88,74,90,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-28,97,85,73,84,35
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-27,96,84,74,82,36
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-26,99,87,75,91,32
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-25,96,84,73,98,40
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-24,96,83,74,87,41
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-23,99,85,75,90,38
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-22,94,83,71,93,36
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-21,92,80,70,96,45
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-20,91,81,72,99,51
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-19,95,82,71,96,37
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-18,99,85,76,98,39
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-17,99,86,78,86,35
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-16,99,88,76,93,32
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-15,95,84,74,97,36
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-14,97,82,73,96,37
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-13,97,84,72,98,35
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-12,99,84,70,96,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-11,99,86,74,91,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-10,96,84,77,88,37
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-09,92,84,77,77,45
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-08,97,90,83,61,33
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-07,102,90,80,72,30
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-06,102,91,77,83,24
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-05,97,85,72,100,34
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-04,86,80,73,97,49
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-03,102,92,80,63,28
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-02,101,92,78,79,26
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-08-01,100,87,75,94,32
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-08-31,108,96,81,46,16
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-08-30,111,95,81,52,10
