Station_name,Date,Temp_max,Temp_avg,Temp_min,RH_max,RH_min
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-28,77,62,46,22,7
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-27,68,52,32,46,5
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-26,65,50,32,50,13
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-25,62,46,28,69,13
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-24,54,41,29,93,17
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-23,52,45,34,91,42
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-22,61,53,44,66,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-21,65,57,51,48,22
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-20,74,57,38,37,7
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-19,75,56,38,35,10
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-18,70,51,32,37,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-17,65,52,38,50,12
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-16,62,53,44,55,24
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-15,72,58,40,40,9
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-14,80,57,37,30,6
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-13,80,58,39,26,5
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-12,79,59,42,36,5
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-11,80,63,43,42,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-10,79,65,54,29,9
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-09,78,62,36,32,5
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-08,76,56,36,32,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-07,70,53,34,31,7
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-06,72,54,32,35,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-05,66,46,28,34,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-04,62,44,28,30,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-03,55,43,32,25,9
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-02,53,47,41,29,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-02-01,66,53,39,37,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-28,82,66,58,28,9
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-27,72,58,46,43,9
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-26,70,55,41,84,14
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-25,66,52,41,70,19
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-24,56,44,34,95,25
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-23,56,47,39,93,53
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-22,62,57,53,82,37
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-21,68,58,43,67,21
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-20,78,59,47,49,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-19,78,60,48,46,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-18,71,53,39,60,9
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-17,66,52,41,88,15
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-16,64,54,47,82,24
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-15,75,59,39,61,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-14,82,67,47,46,6
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-13,,,,,
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-12,,,,,
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-02-11,75,65,47,56,20
