Station_name,Date,Temp_max,Temp_avg,Temp_min,RH_max,RH_min
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-31,97,82,76,90,40
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-30,94,82,75,98,41
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-29,91,80,75,97,47
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-28,85,79,74,98,62
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-27,92,85,78,89,45
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-26,94,81,75,87,44
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-25,94,85,76,93,40
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-24,95,88,81,67,33
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-23,102,93,80,69,26
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-22,109,97,84,42,16
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-21,107,96,82,43,19
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-20,108,96,85,45,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-19,106,97,85,43,20
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-18,104,92,79,74,26
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-17,109,95,80,64,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-16,111,97,82,60,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-15,106,95,81,56,20
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-14,106,94,87,56,21
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-13,108,95,83,56,21
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-12,108,96,80,39,15
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-11,109,97,78,37,14
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-07-10,107,95,78,49,16
