Station_name,Date,Temp_max,Temp_avg,Temp_min,RH_max,RH_min
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-30,101,89,73,84,25
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-29,104,89,77,73,21
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-28,103,91,78,57,21
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-27,99,87,88,100,26
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-26,103,87,76,100,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-25,103,88,73,72,20
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-24,101,88,73,76,22
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-23,105,91,73,43,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-22,100,90,83,40,19
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-21,100,86,63,23,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-20,97,80,56,18,6
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-19,92,79,61,31,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-18,93,86,79,34,15
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-17,102,92,79,19,9
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-16,106,90,68,22,9
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-15,103,86,64,20,11
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-14,99,84,63,29,7
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-13,101,91,78,26,14
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-12,107,97,80,40,14
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-11,109,97,80,41,15
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-10,109,96,77,36,14
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-09,105,92,73,34,17
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-08,104,90,70,39,16
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-07,101,88,68,35,17
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-06,100,87,68,39,15
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-05,96,83,64,31,17
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-04,95,82,62,25,13
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-03,96,83,63,24,12
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-02,98,83,58,24,8
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-06-01,96,80,59,24,10
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-30,104,91,82,60,18
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-29,109,93,83,54,15
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-28,106,95,82,50,17
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-27,102,89,74,77,22
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-26,103,86,77,68,19
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-25,104,91,82,53,17
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-24,106,93,82,44,15
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-23,108,94,82,43,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-22,105,94,85,38,15
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-21,106,91,72,34,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-20,102,86,70,32,5
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-19,99,87,76,78,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-18,94,90,81,48,24
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-17,106,96,79,26,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-16,112,95,73,30,5
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-15,106,90,70,37,5
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-14,102,90,76,30,8
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-13,103,95,82,38,5
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-12,109,97,80,40,10
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-11,113,98,82,39,8
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-10,112,97,80,37,8
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-09,111,97,79,30,10
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-08,109,94,76,45,7
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-07,106,91,75,47,11
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-06,103,89,72,44,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-05,99,87,70,44,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-04,98,86,70,23,9
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-03,100,85,67,42,6
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-02,101,84,63,35,5
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-06-01,99,83,65,37,5
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-30,102,91,78,72,22
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-29,107,93,80,66,20
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-28,105,95,82,46,19
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-27,100,89,76,76,25
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-26,102,90,80,63,21
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-25,104,91,76,58,14
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-24,103,91,77,62,21
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-23,107,93,82,58,16
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-22,103,93,85,37,17
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-21,104,92,74,20,7
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-20,99,88,75,10,5
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-19,95,85,72,19,6
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-18,97,89,84,30,12
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-17,105,95,84,19,8
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-16,108,96,80,16,8
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-15,104,92,73,26,8
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-14,99,89,76,27,8
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-13,101,93,83,23,10
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-06-12,109,98,84,33,12
