Station_name,Date,Temp_max,Temp_avg,Temp_min,RH_max,RH_min
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-30,92,79,66,61,28
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-29,94,80,68,73,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-28,95,82,69,62,25
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-27,96,84,73,63,22
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-26,98,81,62,74,22
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-25,98,84,70,84,14
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-24,99,82,68,100,21
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-23,89,77,70,99,51
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-22,87,76,70,100,57
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-21,82,76,70,99,65
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-20,91,82,70,71,35
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-19,96,81,60,57,18
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-18,93,77,59,63,13
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-17,92,79,64,71,20
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-16,92,78,63,74,28
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-15,91,79,65,83,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-14,89,79,68,89,29
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-13,89,79,71,91,34
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-12,91,80,71,96,42
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-11,96,85,70,80,32
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-10,91,81,72,90,41
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-09,92,82,74,83,39
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-08,99,85,76,77,27
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-07,101,88,75,85,20
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-06,104,90,75,63,17
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-05,104,90,75,63,19
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-04,102,89,76,76,24
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-03,101,86,73,89,23
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-02,104,88,74,82,25
"Aguila VFD, # 50283, Elev. 2,170 ft.",2022-09-01,103,90,75,64,24
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-30,98,83,68,56,14
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-29,98,85,71,63,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-28,100,88,75,44,16
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-27,101,90,80,41,11
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-26,102,90,77,39,18
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-25,102,87,75,57,8
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-24,104,85,73,78,13
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-23,99,83,75,88,26
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-22,95,84,77,90,33
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-21,94,82,76,84,43
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-20,97,88,75,79,20
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-19,104,88,70,53,16
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-18,100,84,65,60,12
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-17,98,84,69,70,10
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-16,97,84,70,68,20
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-15,96,84,72,60,21
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-14,95,83,71,81,18
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-13,94,83,73,79,30
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-12,97,86,74,88,29
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-11,104,90,73,92,21
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-10,97,86,75,91,32
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-09,99,89,79,70,22
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-08,104,93,82,60,14
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-07,107,94,78,53,11
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-06,109,94,77,50,13
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-05,109,94,80,50,14
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-04,108,95,81,52,15
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-03,106,93,77,68,13
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-02,107,90,80,59,21
"Bartlett Lake, # 50827, Elev. 1,780 ft.",2022-09-01,105,94,80,56,22
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-30,94,84,70,57,22
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-29,94,85,73,58,19
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-28,96,88,80,37,24
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-27,97,88,80,43,20
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-26,100,88,76,39,20
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-25,100,90,77,40,13
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-24,100,86,73,76,21
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-23,95,82,73,84,37
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-22,92,81,74,97,44
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-21,85,76,70,99,42
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-20,93,86,77,55,18
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-19,99,87,69,34,17
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-18,96,83,67,46,12
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-17,94,84,69,62,16
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-16,94,84,72,53,22
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-15,92,83,72,65,29
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-14,94,82,72,76,29
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-13,91,82,73,92,32
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-12,91,81,68,100,43
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-11,99,88,76,71,31
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-10,91,81,72,99,39
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-09,93,83,72,95,38
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-08,102,89,79,69,21
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-07,103,91,78,78,20
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-06,106,95,82,63,14
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-05,107,95,84,34,15
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-04,104,95,83,52,19
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-03,104,92,78,67,19
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-02,103,92,80,64,25
"Belmont Mountains, # 50463, Elev. 1,860 ft.",2022-09-01,105,95,80,49,23
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-30,98,85,72,56,21
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-29,99,87,75,64,21
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-28,102,91,80,46,24
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-27,102,93,83,45,20
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-26,104,90,75,43,21
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-25,104,90,76,60,16
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-24,101,88,74,87,26
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-23,99,85,77,95,35
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-22,93,83,77,100,51
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-21,88,80,73,100,46
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-20,98,89,80,54,23
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-19,103,88,68,50,17
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-18,100,85,65,61,14
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-17,99,86,71,68,15
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-16,97,86,73,67,25
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-15,97,86,73,76,31
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-14,96,86,72,86,25
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-13,96,87,78,82,29
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-12,95,84,73,100,42
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-11,100,89,77,88,31
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-10,94,84,74,96,42
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-09,98,86,75,98,37
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-08,104,92,83,69,24
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-07,107,94,83,75,20
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-06,111,98,82,58,15
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-05,109,98,82,41,18
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-04,109,98,87,55,18
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-03,108,95,83,68,20
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-02,107,95,83,65,24
"Buckeye FRS #1, # 50440, Elev. 1,090 ft.",2022-09-01,108,98,83,49,24
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-30,96,84,71,62,17
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-29,98,87,73,66,15
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-28,100,89,75,44,20
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-27,103,90,78,51,16
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-26,104,90,72,53,17
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-25,103,88,74,63,11
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-24,102,88,73,81,22
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-23,98,85,74,92,31
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-22,91,82,75,96,48
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-21,83,78,74,94,56
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-20,95,86,77,68,17
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-19,101,89,70,52,16
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-18,100,84,65,59,10
"Camelback Rd. @ Loop 303, # 50875, Elev. 1,080 ft.",2022-09-17,97,85,69,65,13
